7;Histoire;Géographie;Enseignement moral et civique;Français;Sciences;Biologie;Technologies;;;;;;;;;;;;;;;;;;;;
Nb questions (calcul automatique) :;15;15;15;15;15;15;15;;;;;;;;;;;;;;;;;;;;
Difficulté min :;1;1;2;1;3;3;3;;;;;;;;;;;;;;;;;;;;
Qui était le Roi-Soleil ?;Louis XIV;Louis XVI;Charles X;Quelle mer est située au sud de la France ?;La mer Méditerranée;L'océan Atlantique;La mer du Nord;Où sont jugés les crimes ?;En cours d'assises;Au tribunal correctionnel;En cours d'appel;Comment écrit-on « retrouver » dans la phrase : Lucie veut ... son chapeau ?;Retrouver;Retrouvée;Retrouvé;Quel grand physicien, prix Nobel, découvrit la radioactivité ?;Henri Becquerel;John Dalton;Frédéric Joliot-Curie;Un séisme est produit par la rupture de roche en profondeur, le point de rupture se nomme :;Le foyer;L’épicentre;La faille;Quel est le plus petit élément d'une image sur un écran ?;Le pixel;Le texel;Le bloc
La société sous Louis XIV est constituée de trois ordres, lesquels ?;Le tiers état, le clergé, la noblesse;Égalité, fraternité, liberté;Amitié, respect, obéissance;Quelle mer sépare l'Angleterre de la France ?;La Manche;La mer Rouge;La mer du Nord;Parmi ces symboles, lequel n'est pas celui de la République française ?;Le poulet;La Marseillaise;La Marianne;Combien de personnes parlent dans un monologue ?;1;2;3;Quel est le troisième état de la matière (les deux premiers étant : solide, liquide) ?;Gaz;Air;Émulsion;Les phagocytes et les lymphocytes font partie :;Des leucocytes;Des plaquettes;Des globules rouges;Parmi ces périphériques d'ordinateur, lequel est un périphérique d'entrée ?;Clavier;Imprimante;Écran
Quel roi a été guillotiné en 1793 ?;Louis XVI;Louis XIV;Napoléon 1er;Quel océan est situé au sud-ouest de la France ?;L'océan Atlantique;La mer Méditerranée;L'océan Pacifique;Quel pouvoir exerce le président de la République française ?;Pouvoir exécutif;Pouvoir législatif;Pouvoir judiciaire;Quel est le féminin de : rédacteur ?;Rédactrice;Rédaction;Rédactionniste;Quelle est la température d'ébullition de l'eau ?;100°C;90°C;200°C;La phagocytose est :;Locale et immédiate;Spécialisée et immédiate;Spécialisée et lente;Comment « compte » l’ordinateur ?;Il compte en binaire;Il compte comme nous, en décimal;Il compte en hexadécimal
Où est né Napoléon 1er ?;En Corse;A Paris;A Marseille;Quel pays n'est pas frontalier de la France ?;Autriche;Italie;Allemagne;Quand a été instaurée la Cinquième République ?;En 1958;En 1789;En 1968;Qui dessine les dessins d'un livre ?;Illustrateur;Auteur;Narrateur;Comment s'appelle l'unité d'énergie ?;Le joule;Le dalton;La calorie;A partir de quoi sont produites les énergies fossiles ?;De végétaux fossilisés;De soleil;De vent;Grâce à quel procédé est produite l’électricité dans une centrale nucléaire ?;Grâce à la fission nucléaire;Grâce à la fusion nucléaire;Grâce à la recombinaison nucléaire
Quel roi est mort à Versailles ?;Louis XIV;Louis XVI;Henri IV;La montagne le plus au sud de la France s'écrit...;Pyrénées;Pirénés;Pirénées;Par quelle entité sont gérées les écoles primaires et maternelles ?;Les communes (mairies);Les régions;Les départements;Que veut dire P-S ?;Post-scriptum;Patronyme supplémentaire;Page significative;Par quelle théorie Einstein révolutionna-t-il la physique ?;La relativité;L'évolution;L'espace-temps;En France, d’où provient essentiellement l’eau potable ?;Les eaux souterraines;Les eaux de surface (fleuves, lacs, rivières,);Les eaux de source;Windows est…;Un système d’exploitation;Une marque d’ordinateur;Un logiciel d’Apple
Quel était le nom entier de Napoléon 1er ?;Napoléon Bonaparte;Napoléon Bonali;Napoléon Bonapali;Quel est le pays le plus grand du monde ?;La Russie;La Chine;Le Canada;L'instruction (scolaire) est obligatoire jusqu'à quel âge ?;16 ans;18 ans;14 ans;Le contraire s'appelle aussi :;Antonyme;Synonyme;Patronyme;Qu'a découvert Wilhelm Röntgen ?;Les rayons X;Le rayon laser;Les rayons ultraviolets;Que peut provoquer un séisme ?;Un tsunami;L’éruption d’un volcan;L’effondrement des montagnes;Que signifie Go (unité de stockage) ?;Giga octet;Gigo octet;Gibio octet
Quand l'école est-elle devenue gratuite, laïque et obligatoire en primaire ?;en 1882;en 1982;en 1914;Où se trouve le Mont Blanc ?;Dans les Alpes;Dans le Massif Central;Dans les Vosges;Le président de la République française est élu pour un mandat de...;5 ans;7 ans;4 ans;Si vous n'avez aucune faute à ce quiz, c'est un...;Les deux sont admis;Événement;Évènement;Quel chimiste a travaillé sur la classification périodique des éléments ?;Dimitri Mendeleiev;Gregor Mendel;René Laennec;Combien de planètes notre système solaire compte-t-il ?;8;6;10;Que signifie WWW (composante d’Internet) ?;World Wide Web;World With Web;Worth Wild Web
